Round,Module,Stacked Status,Variable Pair,Long Form Variable Name,Variable Label,Link Grad
RS,Status and Descriptive,paired,brdxdy/xbrdxdy,z_brdxdy,RS Year of participants's birth,NA
RS,Status and Descriptive,paired,sexrsp/ssbsex,z_sexrsp,RS Sex of participant,NA
RS,Status and Descriptive,paired,group91,z_group91,RS Group to which graduate was randomly assigned in 1991.  Those individuals not known to be deceased by 1991 were randomly divided into 10 groups. (Added 3/96),NA
RS,Status and Descriptive,paired,livgrad/xlivsib,z_livgrad,RS Is the participant alive as of current release as far as we know?,NA
RS,Status and Descriptive,paired,deatyr/xdeatyr,z_deatyr,RS Year of participant's death.,NA
RS,Status and Descriptive,paired,stat04m/xstat05m,z_stat04m,RS Outcome of 200x mail back questionnaire,NA
RS,Status and Descriptive,paired,stat11p/xstat11p,z_stat11p,RS Outcome of 2011 in-person interview.,NA
RS,Status and Descriptive,paired,stat11m/xstat11m,z_stat11m,RS outcome of 2011 SAQ.,NA
RS,Status and Descriptive,paired,statk08/xstatk08,z_statk08,RS Status code for return of oragene saliva kit from 2008 biomarker collection,NA
RS,Status and Descriptive,paired,statk11/xstatk11,z_statk11,RS Status code for return of oragene saliva kit from 2011 biomarker collection,NA
RS,Status and Descriptive,paired,statkdna/xstatkdna,z_statkdna,RS Cumulative status code for return of oragene saliva kit as of 2011 wave,NA
RS,Status and Descriptive,paired,statc08/xstatc08,z_statc08,RS Status code for consent to use saliva from 2008 biomarker collection,NA
RS,Status and Descriptive,paired,statc11/xstatc11,z_statc11,RS Status code for consent to use saliva from 2011 biomarker collection,NA
RS,Status and Descriptive,paired,statcdna/xstatcdna,z_statcdna,RS Cumulative status code for consent to use saliva as of 2011 wave,NA
RS,Status and Descriptive,paired,statw11/xstatw11,z_statw11,RS Status code for medicare waiver from 2011 interview,NA
RS,Status and Descriptive,paired,stats11/xstats11,z_stats11,RS Status code for social security waiver from 2011 interview,NA
RS,Status and Descriptive,grad only,idpriv,idpriv,"RS Protected data release ID for data version 13.06, limited access.",NA
RS,Status and Descriptive,grad only,inafroa,inafroa,RS Was the graduate identified as African American? (Added 9/05),NA
RS,Status and Descriptive,grad only,twinr,twinr,RS Is the graduate a twin?,NA
RS,Status and Descriptive,grad only,rs64fu,rs64fu,RS 1964 Graduate parents's follow-up response.,NA
RS,Status and Descriptive,grad only,rspw64,rspw64,RS 1964 Graduate parents's wave response.,NA
RS,Status and Descriptive,grad only,rs64,rs64,RS Graduate parents's response status in 1964 by sub-sample,NA
RS,Status and Descriptive,grad only,stat75,stat75,RS 1975 Status Code (1975) Coversheet LIV64 was used for analyses prior to 1975.,NA
RS,Status and Descriptive,grad only,rsp75,rsp75,RS Combined Response Status for 1964 and 1975. (1975 Coversheet),NA
RS,Status and Descriptive,grad only,xsmpl,xsmpl,RS Combined Sample (Graduate and Sibling) Response Code,NA
RS,Status and Descriptive,grad only,stat92p,stat92p,RS Outcome of 1992-1993 primary respondent phone interview. (Added 11/95),NA
RS,Status and Descriptive,grad only,stat92m,stat92m,RS Outcome of 1992-1993 primary respondent mail interview. (Added 11/95),NA
RS,Status and Descriptive,grad only,stat04p,stat04p,RS Outcome of 2004 graduate telephone interview (Added 9/05),NA
RS,Status and Descriptive,grad only,stat04gs,stat04gs,RS Outcome of 2004 graduate spouse telephone interview.,NA
